title,interviewee,interviewer,date,datenice,dates,affiliation (role),affiliation (department),description,biography,subject (lcsh),subjects (lctgm),subject,location,object type,notes,language,language code,digital collection,digital id number,ordering information,citation information,repository,repository collection,rights uri,restrictions,type,staff notes,cataloging,extent,format,original format,file name,digital reproduction information,oclc number,date created,date modified,reference url,compound-parent,compound,cdmid,contentdm file name,contentdm file path,objectid,reference_url
"Beckie Etheridge, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201905-Transcript","","","","","","","Text","","","22 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_betheridge_transcript.pdf","","","2020-05-27","2020-05-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/71","72","","71","72.pdf","/p16786coll18/image/72.pdf","foundingstories71","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories71.html"
"Beckie Etheridge interview","Etheridge, Beckie","Hua, Joan, 1989-","2019-11-21","November 21, 2019","2019","Staff","Media Services, Teaching and Learning Center; Library","In this interview, Beckie Etheridge talks about her experience as a founding staff member of University of Washington Tacoma. She describes her work building the media collection and later starting the Teaching and Learning Center. She discusses her experience working with Claudia Gorbman, professor of film studies, and former library director Deborah Stansbury Sunday, as well as other colleagues. She shares memories about building the film collection, technology equipment, and student staff. Recalling UW Tacoma&#39;s transition from a two-year school to a four-year university, she reveals her dedication toward supporting first-year and first-generation students and her view on how they have shaped the university.","Beckie Etheridge is a founding staff member of UW Tacoma and worked as a Media Technician when the university was first established in 1990. She was a Distinguished Service Award recipient in 1999. She later earned her Master of Education at UW Tacoma and subsequently served as the director of the Teaching &amp; Learning Center until 2015. After UW Tacoma, she worked at Washington State University Tri-Cities on early outreach with students between seventh grade and college through the Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP). She retired in 2018 and lives in Kennewick, Washington.","Etheridge, Beckie--Interviews; Instructional materials centers--Washington (State)--Tacoma--Employees; Motion picture film collections--Washington (State)--Tacoma; University of Washington Tacoma--History","","First-generation; student services; student success; teaching and learning; Tacoma Film Society; Deborah Stansbury Sunday; UW Bothell; John Blake","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Beckie Etheridge was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201905","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201905","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1156471962","2020-05-27","2020-06-03","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/72","","69; 70; 71","72","73.cpd","/p16786coll18/image/73.cpd","foundingstories72","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories72.html"
"Greg Tanbara, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202002-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_gtambara_photo.JPG","","","2020-05-27","2020-05-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/73","76","","73","74.jp2","/p16786coll18/image/74.jp2","foundingstories73","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories73.html"
"Greg Tanbara, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202002-Audio","","","","","","","Sound","","","1:35:26","audio/mp3","audio/wav","uwtlib_uwtoralhistory_gtambara_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-05-27","2020-05-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/74","76","","74","75.mp3","/p16786coll18/image/75.mp3","foundingstories74","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories74.html"
"Greg Tanbara, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202002-Transcript","","","","","","","Text","","","23 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_gtambara_transcript.pdf","","","2020-05-27","2020-05-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/75","76","","75","76.pdf","/p16786coll18/image/76.pdf","foundingstories75","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories75.html"
"Greg Tanbara interview","Tanbara, Gregory M.","Hua, Joan, 1989-","2020-01-09","January 9, 2020","2020","Community member","Japanese Language School; City of Tacoma; Pierce County; Center for Leadership and Social Responsibility; Urban Studies","In this interview, Greg Tanbara discusses his multifaceted connections with University of Washington Tacoma and Tacoma as a city. He begins by sharing his family history, tracing back to the early 1900s, when his grandparents immigrated and settled in today&#39;s downtown neighborhood of Tacoma, then a vibrant Japantown; his narration goes through World War II, when the residents were forced into internment, and into the mid-20th century. He recounts childhood memories living in the Japanese Language School building and participating in activities at the Tacoma Buddhist Temple, both of which were or are located on the present-day UW Tacoma campus. As an employee in multiple municipal offices from the late 1970s onward, Tanbara recalls discussions around a UW campus in Tacoma among local circles, including groups such as the Executive Council and individuals like Ryan Petty. At the end of the interview, Tanbara reflects on UW Tacoma&#39;s relationship with the neighborhood and local community, sharing his perspective on the university&#39;s role related to the history of Japantown and Tacoma.","Gregory Tanbara was born in Seattle, Washington, in 1953. He and his family moved to Tacoma when he was about two years old, and he has lived and worked in Tacoma almost his entire life. Currently employed at the Tacoma-Pierce County Health Department, he has also advised University of Washington Tacoma faculty and staff on a number of projects, including the Japanese Language School Memorial, &amp;quot;Maru.&amp;quot; Previously, he has worked for the City of Tacoma and for the Washington State Employment Security Department. His maternal family owned and took care of the Japanese Language School building before it was purchased by UW Tacoma in 1993. The building, now no longer standing, was a monument of the once-flourishing Japantown, which overlapped with the current footprint of the UW Tacoma campus. As a longtime resident of Tacoma, Tanbara has witnessed firsthand the transformation of the city over the past seven decades, as well as the community&#39;s investment in the establishment and growth of UW Tacoma.","Tanbara, Gregory M.--Interviews; Japanese Language School (Seattle, Wash.); Municipal employees--Washington (State)--Tacoma; Washington (State). Employment Security Department--Employees; University of Washington Tacoma--History","","Norman Dicks; urban renewal; Union Station; Save Our Station; World War II; Japantown; internment; Executive Order 9066; Warehouse District; community outreach; urban development; historic preservation; Superfund; Commencement Bay; Ryan Petty; Tacoma-Pierce County Economic Development Board (EDB); Executive Council for A Greater Tacoma; Ray Corpuz; William Philip; Theater District; Booth Gardner; employment service; Maru; memorial; LNG; Japanese American incarceration; Transcontinental Railroad","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Greg Tanbara was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH202002","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH202002","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1156472666","2020-05-27","2020-06-03","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/76","","73; 74; 75","76","77.cpd","/p16786coll18/image/77.cpd","foundingstories76","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories76.html"
"Janet Primomo, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201906-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_jprimomo_photo.jpg","","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/77","80","","77","78.jp2","/p16786coll18/image/78.jp2","foundingstories77","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories77.html"
"Janet Primomo, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201906-Audio","","","","","","","Sound","","","1:19:04","audio/mp3","audio/wav","uwtlib_uwtoralhistory_jprimomo_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/78","80","","78","79.mp3","/p16786coll18/image/79.mp3","foundingstories78","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories78.html"
"Janet Primomo, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201906-Transcript","","","","","","","Text","","","21 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_jprimomo_transcript.pdf","","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/79","80","","79","80.pdf","/p16786coll18/image/80.pdf","foundingstories79","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories79.html"
"Janet Primomo interview","Primomo, Janet","Hua, Joan, 1989-","2019-11-18","November 18, 2019","2019","Faculty","Nursing","Janet Primomo reflects on work with University of Washington Tacoma as part of the founding faculty of the School of Nursing and Healthcare Leadership. In this interview, she shares her experience starting as assistant professor in 1992, helping to build the Nursing program at the time and incorporating interdisciplinarity into the curriculum to match UW Tacoma’s mission. She mentions the interdisciplinarity as well as community-based scholarship as aspects that attracted her to the position. Next she highlights memorable students. She notes the diversity within the campus community and how the student body&#39;s demographics shifted before and after the Great Recession. She then describes the evolving relationships between University of Washington&#39;s three campuses: Bothell, Seattle, and Tacoma, and the unique, community-driven orientation of UW Tacoma. She finishes by reflecting on the rewarding and frustrating parts about her career at UW Tacoma.","Janet Primomo is an Associate Professor Emeritus with the School of Nursing and Healthcare Leadership at UW Tacoma. She retired in 2015. After completing her MN (1982) and PhD (1989) at UW Seattle, she worked at Pacific Lutheran University for a short period. In 1992, she joined UW Tacoma and became one of the three founding faculty members of the Nursing program. She is involved with Puget Sound Asthma Coalition on the executive committee and serves on the University of Washington Retirement Association Board. Despite being retired, she maintains strong ties with UW Tacoma, including through scholarship and mentoring graduate students and faculty. She received UW Tacoma&#39;s Distinguished Teaching Award in 1997 and UW Tacoma&#39;s Community Engagement Award in 2013. She is also a recipient of the Dr. Trudeau Award from the American Lung Association of Washington for outstanding research and volunteer leadership. She was inducted into the Washington State Nurses Association&#39;s Hall of Fame in 2014.","Primomo, Janet--Interviews; University of Washington. School of Nursing--Faculty; University of Washington Tacoma--History","","School of Nursing; nursing; public health; faculty governance; tri-campus; interdisciplinary education; research; community public health; Joint Base Lewis–McChord (JBLM)","United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle","Oral histories","The oral history interview with Janet Primomo was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201906","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201906","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1162820224","2020-07-01","2020-07-07","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/80","","77; 78; 79","80","81.cpd","/p16786coll18/image/81.cpd","foundingstories80","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories80.html"
"David Morris, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201810-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_dmorris_photo.jpg","","","2020-07-02","2020-07-02","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/81","84","","81","82.jp2","/p16786coll18/image/82.jp2","foundingstories81","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories81.html"
"David Morris, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201810-Audio","","","","","","","Sound","","","1:13:42","audio/mp3","audio/wav","uwtlib_uwtoralhistory_dmorris_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-02","2020-07-02","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/82","84","","82","83.mp3","/p16786coll18/image/83.mp3","foundingstories82","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories82.html"
"David Morris, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201810-Transcript","","","","","","","Text","","","18 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_dmorris_transcript.pdf","","","2020-07-02","2020-07-02","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/83","84","","83","84.pdf","/p16786coll18/image/84.pdf","foundingstories83","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories83.html"
"David Morris interview","Morris, David, 1947-","Williams, Charles Thomas","2018-09-20","September 20, 2018","2018","Faculty","Liberal Studies; School of Interdisciplinary Arts and Science","David Morris recounts his experience starting the UW Tacoma Liberal Studies program and the then branch campus with a cohort of interdisciplinary scholars. He describes his interest and specialization in environmental literature and how they match the interdisciplinary approach to the curriculum at UW Tacoma. He shares his memories of team teaching and working with older, nontraditional college students that made up the majority of UW Tacoma student body when it was first established. Later in the interview, he discusses the tri-campus relationship between UW Tacoma, Seattle, and Bothell and shares his view on the university&#39;s trajectory of growth.","David Morris (b. 1947) is a founding faculty member of University of Washington Tacoma. He was one of the initial 13 faculty members hired to create the Liberal Studies program, presently the School of Interdisciplinary Arts and Sciences. He retired in 2012. Before arriving in Tacoma, Morris had studied English and city planning at The University of North Carolina at Chapel Hill for his master&#39;s degree. He earned his PhD in American Literature from University of Washington in 1984 and worked as a teaching assistant for Donna Kerr, the first dean of UW branch campuses before they opened. He previously taught at UCLA and Butler University in Indianapolis, Indiana.","Morris, David, 1947--Interviews; College teachers--Washington (State)--Tacoma; University of Washington Tacoma--Faculty; University of Washington Tacoma--History","","Bill Gerberding; Donna Kerr; liberal education; interdisciplinary education; interdisciplinarity; curriculum planning; higher education; nontraditional students; academic administration; Warehouse District; urban development; urban revitalization","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with David Morris was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201810","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201810","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1162818359","2020-07-02","2020-07-07","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/84","","81; 82; 83","84","85.cpd","/p16786coll18/image/85.cpd","foundingstories84","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories84.html"
"Ryan Petty, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202004-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_rpetty_photo.jpg","","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/85","88","","85","86.jp2","/p16786coll18/image/86.jp2","foundingstories85","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories85.html"
"Ryan Petty, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202004-Audio","","","","","","","Sound","","","1:39:41","audio/mp3","audio/wav","uwtlib_uwtoralhistory_rpetty_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/86","88","","86","87.mp3","/p16786coll18/image/87.mp3","foundingstories86","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories86.html"
"Ryan Petty, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202004-Transcript","","","","","","","Text","","","26 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_rpetty_transcript.pdf","","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/87","88","","87","88.pdf","/p16786coll18/image/88.pdf","foundingstories87","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories87.html"
"Ryan Petty interview","Petty, Ryan","Wadland, Justin","2020-01-24","January 24, 2020","2020","Community member","Economic Development Board","In this interview, Ryan Petty discusses his extensive and strategic work bringing a flagship university branch campus to Tacoma with the goal of creating local access to public education and four-year degrees for the city to develop economically. He explains the economic situation of Tacoma in the mid-1980s and the need to increase higher education opportunities in order to develop the workforce and attract business investment. He describes his behind-the-scenes work with higher education administrators and community stakeholders to discuss a possible Washington State University branch campus in Tacoma and to eventually persuade University of Washington to establish UW Tacoma. He reveals his deep personal investment in the place and endeavor, marveling at how &amp;quot;it was meant to be&amp;quot; and he was &amp;quot;just the right person at the right time.&amp;quot;","Ryan Petty (b. 1949) served as the CEO of the Tacoma-Pierce County Economic Development Board (EDB) between January 1986 and October 1989. During this time, he played a crucial role in the eventual establishment of the University of Washington Tacoma. Petty grew up in Tulsa, Oklahoma. He received his bachelor&#39;s degree from Princeton University in 1971 and juris doctor degree from the University of Texas at Austin in 1974. Ryan enjoyed a 30-plus career in economic development and related nonprofit and public sector management, beginning in 1983 as Vice President for Economic Development of the Austin (Texas) Chamber of Commerce. He moved from the EDB to head up Forward Washington (then Washington’s statewide public-private partnership for economic development). In1992 he moved to Illinois to run the Chamber of Commerce and an allied economic development nonprofit for the City of Rockford (in Chicago’s NW growth corridor). Ryan returned to Tacoma in 2004 as Director of the City’s Community and Economic Development Department, where he served out much of the balance of his career. UW Tacoma&#39;s Petty and Mork Endowed Scholarship is named after him and the former City Manager of Tacoma, Erling Mork (who also succeeded Ryan as CEO of the EDB).","Petty, Ryan--Interviews; Economic Development Board for Tacoma-Pierce County; Business consultants--Washington (State)--Tacoma; Economic development--Washington (State)--Tacoma; University of Washington Tacoma--History","","Ryan Petty; Tacoma-Pierce County Economic Development Board (EDB); Michigan State University; urban planning; urban renewal; economic development; Robert Hotaling; Meridian Township Planning Commission; affirmative action; zoning ordinance; environmental review; Milton Robert Carr; landscape architecture; Bert Winterbottom; William Philip; George Weyerhaeuser; George Russell; Urban League; Tom Dixon; Executive Council for A Greater Tacoma; warehouse district; Black Lives Matter movement","United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle; United States--Texas--Austin","Oral histories","The oral history interview with Ryan Petty was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH202004","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH202004","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1162819159","2020-07-01","2020-07-07","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/88","","85; 86; 87","88","89.cpd","/p16786coll18/image/89.cpd","foundingstories88","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories88.html"
"Chana Lawson, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202003-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_clawson_photo.jpg","","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/89","92","","89","90.jp2","/p16786coll18/image/90.jp2","foundingstories89","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories89.html"
"Chana Lawson, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202003-Audio","","","","","","","Sound","","","1:27:49","audio/mp3","audio/wav","uwtlib_uwtoralhistory_clawson_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/90","92","","90","91.mp3","/p16786coll18/image/91.mp3","foundingstories90","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories90.html"
"Chana Lawson, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202003-Transcript","","","","","","","Text","","","24 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_clawson_transcript.pdf","","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/91","92","","91","92.pdf","/p16786coll18/image/92.pdf","foundingstories91","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories91.html"
"Chana Lawson interview","Lawson, Chana","Hua, Joan, 1989-","2020-01-22","January 22, 2020","2020","Community member; Alumni; Staff","School of Interdisciplinary Arts and Science; Alumni Relations","Chana Lawson discusses her various connections and experiences with UW Tacoma in this interview. She begins by explaining her background as a military wife, student parent, and airline employee and her motivation to complete her bachelor&#39;s degree at UW Tacoma. She recalls the time when UW Tacoma became a four-year university, which coincided with her time as a student. She says having freshmen and younger students on campus drove her to become more involved in cultivating a community. Later in the interview, she discusses in further detail her involvement with the Black Student Union and her work to establish the very first MLK Unity Breakfast, rallying the support of campus and community organizations as well as faculty and administrators.","Chana Lawson (b. 1969) was born in Madison, Wisconsin, and grew up in Brooklyn, New York. She worked in insurance and the airline industry before attending University of Washington Tacoma from 2005 to 2007. She received her bachelor&#39;s degree with a major in Interdisciplinary Arts and Sciences and two minors in Nonprofit Management and Education from UW Tacoma, as well as a master&#39;s degree in Organizational Leadership from Chapman University. When she was an undergraduate student at UW Tacoma, she lived in Puyallup, Washington, was a parent of two children, and worked full time at Northwest Airlines. She became active on campus as a leader in the Black Student Union and a mentor to younger students. She was one of the officers who organized the inaugural Unity Breakfast, now an annual community event celebrating Martin Luther King, Jr., Day on the UW Tacoma campus. She remained closely connected to the community after graduation, serving on the Alumni Council and other groups. In 2020, she became the Assistant Director of Alumni Relations &amp; Annual Giving at UW Tacoma. She is a recipient of the City of Destiny Award for Equity and Empowerment.","Lawon, Chana--Interviews; University of Washington. Alumni Association; Black Student Union (University of Washington); University of Washington Tacoma--Students; University of Washington Tacoma--History","","military; student parent; community outreach; mentorship; diversity; youth services; Black Student Union (BSU); student organization; MLK Jr. Unity Breakfast; Emily Ignacio; Luther Adams; Michael Honey; September 11; Martin Luther King Jr.; Black Collective; Joint Base Lewis–McChord (JBLM)","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Chana Lawson was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH202003","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH202003","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1162816085","2020-07-01","2020-07-07","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/92","","89; 90; 91","92","93.cpd","/p16786coll18/image/93.cpd","foundingstories92","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories92.html"
"Belinda Louie, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201907-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_blouie_photo.jpg","","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/93","96","","93","94.jp2","/p16786coll18/image/94.jp2","foundingstories93","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories93.html"
"Belinda Louie, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201907-Audio","","","","","","","Sound","","","1:15:36","audio/mp3","audio/wav","uwtlib_uwtoralhistory_blouie_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/94","96","","94","95.mp3","/p16786coll18/image/95.mp3","foundingstories94","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories94.html"
"Belinda Louie, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201907-Transcript","","","","","","","Text","","","25 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_blouie_transcript.pdf","","","2020-07-01","2020-07-01","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/95","96","","95","96.pdf","/p16786coll18/image/96.pdf","foundingstories95","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories95.html"
